Encoder,Video Number,Resolution,Distortion Level,MOS,path
AVS2,11,540p,2,41.84,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/11/960x540_2.mp4
AVS2,11,540p,3,61.74,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/11/960x540_3.mp4
AVS2,11,540p,4,69.84,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/11/960x540_4.mp4
AV1,11,540p,1,43.44,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/11/960x540_1.mp4
AV1,11,540p,2,67.8,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/11/960x540_2.mp4
AV1,11,540p,3,76.2,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/11/960x540_3.mp4
AV1,11,540p,4,80.21,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/11/960x540_4.mp4
HEVC,12,540p,1,22.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/12/960x540_1.mp4
HEVC,12,540p,2,44.66,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/12/960x540_2.mp4
HEVC,12,540p,3,52.32,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/12/960x540_3.mp4
HEVC,12,540p,4,73.82,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/12/960x540_4.mp4
H264,12,540p,1,9.5,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/12/960x540_1.mp4
H264,12,540p,2,35.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/12/960x540_2.mp4
H264,12,540p,3,58.14,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/12/960x540_3.mp4
H264,12,540p,4,77.41,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/12/960x540_4.mp4
VP9,12,540p,1,46.66,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/12/960x540_1.mp4
VP9,12,540p,2,62.84,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/12/960x540_2.mp4
VP9,12,540p,3,66.97,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/12/960x540_3.mp4
VP9,12,540p,4,77.76,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/12/960x540_4.mp4
AVS2,12,540p,1,11.02,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/12/960x540_1.mp4
AVS2,12,540p,2,27.5,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/12/960x540_2.mp4
AVS2,12,540p,3,43.02,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/12/960x540_3.mp4
AVS2,12,540p,4,73.09,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/12/960x540_4.mp4
AV1,12,540p,1,59.09,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/12/960x540_1.mp4
AV1,12,540p,2,72.46,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/12/960x540_2.mp4
AV1,12,540p,3,75.3,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/12/960x540_3.mp4
AV1,12,540p,4,83.07,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/12/960x540_4.mp4
HEVC,13,540p,1,16.3,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/13/960x540_1.mp4
HEVC,13,540p,2,41.31,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/13/960x540_2.mp4
HEVC,13,540p,3,53.06,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/13/960x540_3.mp4
HEVC,13,540p,4,54.96,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/13/960x540_4.mp4
H264,13,540p,1,17.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/13/960x540_1.mp4
H264,13,540p,2,37.53,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/13/960x540_2.mp4
H264,13,540p,3,49.26,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/13/960x540_3.mp4
H264,13,540p,4,54.72,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/13/960x540_4.mp4
VP9,13,540p,1,49.37,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/13/960x540_1.mp4
VP9,13,540p,2,58.56,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/13/960x540_2.mp4
VP9,13,540p,3,57.53,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/13/960x540_3.mp4
VP9,13,540p,4,54.74,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/13/960x540_4.mp4
AVS2,13,540p,1,15.71,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/13/960x540_1.mp4
AVS2,13,540p,2,49.76,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/13/960x540_2.mp4
AVS2,13,540p,3,53.61,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/13/960x540_3.mp4
AVS2,13,540p,4,58.22,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/13/960x540_4.mp4
AV1,13,540p,1,47.63,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/13/960x540_1.mp4
AV1,13,540p,2,52.95,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/13/960x540_2.mp4
AV1,13,540p,3,61.04,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/13/960x540_3.mp4
AV1,13,540p,4,61.9,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/13/960x540_4.mp4
HEVC,14,540p,1,16.68,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/14/960x540_1.mp4
HEVC,14,540p,2,32.84,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/14/960x540_2.mp4
HEVC,14,540p,3,44.43,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/14/960x540_3.mp4
HEVC,14,540p,4,61.32,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/14/960x540_4.mp4
H264,14,540p,1,8.94,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/14/960x540_1.mp4
H264,14,540p,2,32.33,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/14/960x540_2.mp4
H264,14,540p,3,56.03,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/14/960x540_3.mp4
H264,14,540p,4,60.53,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/14/960x540_4.mp4
VP9,14,540p,1,47.06,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/14/960x540_1.mp4
VP9,14,540p,2,55.09,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/14/960x540_2.mp4
VP9,14,540p,3,58.94,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/14/960x540_3.mp4
VP9,14,540p,4,67.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/14/960x540_4.mp4
AVS2,14,540p,1,21.19,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/14/960x540_1.mp4
AVS2,14,540p,2,38.64,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/14/960x540_2.mp4
AVS2,14,540p,3,49.94,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/14/960x540_3.mp4
AVS2,14,540p,4,64.13,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/14/960x540_4.mp4
AV1,14,540p,1,53.17,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/14/960x540_1.mp4
AV1,14,540p,2,60.27,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/14/960x540_2.mp4
AV1,14,540p,3,61.4,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/14/960x540_3.mp4
AV1,14,540p,4,67.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/14/960x540_4.mp4
HEVC,15,540p,1,11.07,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/15/960x540_1.mp4
HEVC,15,540p,2,42.27,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/15/960x540_2.mp4
HEVC,15,540p,3,51.73,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/15/960x540_3.mp4
HEVC,15,540p,4,66.02,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/15/960x540_4.mp4
H264,15,540p,1,9.53,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/15/960x540_1.mp4
H264,15,540p,2,33.88,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/15/960x540_2.mp4
H264,15,540p,3,49.16,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/15/960x540_3.mp4
H264,15,540p,4,68.99,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/15/960x540_4.mp4
VP9,15,540p,1,30.17,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/15/960x540_1.mp4
VP9,15,540p,2,44.58,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/15/960x540_2.mp4
VP9,15,540p,3,50.02,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/15/960x540_3.mp4
VP9,15,540p,4,66.96,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/15/960x540_4.mp4
AVS2,15,540p,1,19.21,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/15/960x540_1.mp4
AVS2,15,540p,2,44.77,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/15/960x540_2.mp4
AVS2,15,540p,3,65.74,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/15/960x540_3.mp4
AVS2,15,540p,4,69.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/15/960x540_4.mp4
AV1,15,540p,1,37.29,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/15/960x540_1.mp4
AV1,15,540p,2,46.42,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/15/960x540_2.mp4
AV1,15,540p,3,67.93,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/15/960x540_3.mp4
AV1,15,540p,4,76.88,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/15/960x540_4.mp4
HEVC,16,540p,1,9.49,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/16/960x540_1.mp4
HEVC,16,540p,2,32.53,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/16/960x540_2.mp4
HEVC,16,540p,3,36.32,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/16/960x540_3.mp4
HEVC,16,540p,4,64.52,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/16/960x540_4.mp4
H264,16,540p,1,5.72,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/16/960x540_1.mp4
H264,16,540p,2,19.89,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/16/960x540_2.mp4
H264,16,540p,3,47.6,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/16/960x540_3.mp4
H264,16,540p,4,60.22,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/16/960x540_4.mp4
VP9,16,540p,1,37.86,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/16/960x540_1.mp4
VP9,16,540p,2,51.62,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/16/960x540_2.mp4
VP9,16,540p,3,62.16,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/16/960x540_3.mp4
VP9,16,540p,4,68.08,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/16/960x540_4.mp4
AVS2,16,540p,1,14.58,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/16/960x540_1.mp4
AVS2,16,540p,2,36.54,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/16/960x540_2.mp4
AVS2,16,540p,3,52.1,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/16/960x540_3.mp4
AVS2,16,540p,4,63.88,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/16/960x540_4.mp4
AV1,16,540p,1,43.93,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/16/960x540_1.mp4
AV1,16,540p,2,59.79,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/16/960x540_2.mp4
AV1,16,540p,3,59.52,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/16/960x540_3.mp4
AV1,16,540p,4,71.26,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/16/960x540_4.mp4
HEVC,17,540p,1,12.79,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/17/960x540_1.mp4
HEVC,17,540p,2,31.29,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/17/960x540_2.mp4
HEVC,17,540p,3,44.17,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/17/960x540_3.mp4
HEVC,17,540p,4,62.77,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/17/960x540_4.mp4
H264,17,540p,1,19.94,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/17/960x540_1.mp4
H264,17,540p,2,34.32,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/17/960x540_2.mp4
H264,17,540p,3,46.51,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/17/960x540_3.mp4
H264,17,540p,4,60.42,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/17/960x540_4.mp4
VP9,17,540p,1,37.04,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/17/960x540_1.mp4
VP9,17,540p,2,50.39,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/17/960x540_2.mp4
VP9,17,540p,3,56.67,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/17/960x540_3.mp4
VP9,17,540p,4,61.24,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/17/960x540_4.mp4
AVS2,17,540p,1,6.27,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/17/960x540_1.mp4
AVS2,17,540p,2,15.22,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/17/960x540_2.mp4
AVS2,17,540p,3,20.66,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/17/960x540_3.mp4
AVS2,17,540p,4,41.57,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/17/960x540_4.mp4
AV1,17,540p,1,38.57,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/17/960x540_1.mp4
AV1,17,540p,2,53.81,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/17/960x540_2.mp4
AV1,17,540p,3,60.34,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/17/960x540_3.mp4
AV1,17,540p,4,64.35,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/17/960x540_4.mp4
HEVC,18,540p,1,21.38,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/18/960x540_1.mp4
HEVC,18,540p,2,39.04,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/18/960x540_2.mp4
HEVC,18,540p,3,56.73,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/18/960x540_3.mp4
HEVC,18,540p,4,63.78,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/18/960x540_4.mp4
H264,18,540p,1,22.26,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/18/960x540_1.mp4
H264,18,540p,2,45.75,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/18/960x540_2.mp4
H264,18,540p,3,64.21,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/18/960x540_3.mp4
H264,18,540p,4,63.4,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/18/960x540_4.mp4
VP9,18,540p,1,47.8,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/18/960x540_1.mp4
VP9,18,540p,2,62.47,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/18/960x540_2.mp4
VP9,18,540p,3,62.76,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/18/960x540_3.mp4
VP9,18,540p,4,66.61,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/18/960x540_4.mp4
AVS2,18,540p,1,22.91,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/18/960x540_1.mp4
AVS2,18,540p,2,41.82,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/18/960x540_2.mp4
AVS2,18,540p,3,53.66,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/18/960x540_3.mp4
AVS2,18,540p,4,61.64,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/18/960x540_4.mp4
AV1,18,540p,1,50.62,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/18/960x540_1.mp4
AV1,18,540p,2,59.72,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/18/960x540_2.mp4
AV1,18,540p,3,66.28,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/18/960x540_3.mp4
AV1,18,540p,4,67.93,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/18/960x540_4.mp4
HEVC,19,540p,1,18.14,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/19/960x540_1.mp4
HEVC,19,540p,2,37.28,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/19/960x540_2.mp4
HEVC,19,540p,3,45.13,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/19/960x540_3.mp4
HEVC,19,540p,4,53.47,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/19/960x540_4.mp4
H264,19,540p,1,18.59,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/19/960x540_1.mp4
H264,19,540p,2,39.08,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/19/960x540_2.mp4
H264,19,540p,3,50.97,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/19/960x540_3.mp4
H264,19,540p,4,52.09,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/19/960x540_4.mp4
VP9,19,540p,1,40.61,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/19/960x540_1.mp4
VP9,19,540p,2,50.4,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/19/960x540_2.mp4
VP9,19,540p,3,50.91,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/19/960x540_3.mp4
VP9,19,540p,4,46.21,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/19/960x540_4.mp4
AVS2,19,540p,1,10.81,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/19/960x540_1.mp4
AVS2,19,540p,2,28.65,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/19/960x540_2.mp4
AVS2,19,540p,3,29.94,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/19/960x540_3.mp4
AVS2,19,540p,4,47.06,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/19/960x540_4.mp4
AV1,19,540p,1,38.3,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/19/960x540_1.mp4
AV1,19,540p,2,49.37,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/19/960x540_2.mp4
AV1,19,540p,3,50.1,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/19/960x540_3.mp4
AV1,19,540p,4,52.43,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/19/960x540_4.mp4
HEVC,20,540p,1,14.98,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/20/960x540_1.mp4
HEVC,20,540p,2,38.2,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/20/960x540_2.mp4
HEVC,20,540p,3,38.91,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/20/960x540_3.mp4
HEVC,20,540p,4,53.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/20/960x540_4.mp4
H264,20,540p,1,12.25,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/20/960x540_1.mp4
H264,20,540p,2,29.18,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/20/960x540_2.mp4
H264,20,540p,3,51.15,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/20/960x540_3.mp4
H264,20,540p,4,53.17,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/20/960x540_4.mp4
VP9,20,540p,1,46.12,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/20/960x540_1.mp4
VP9,20,540p,2,56.32,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/20/960x540_2.mp4
VP9,20,540p,3,54.24,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/20/960x540_3.mp4
VP9,20,540p,4,58.53,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/20/960x540_4.mp4
AVS2,20,540p,1,16.94,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/20/960x540_1.mp4
AVS2,20,540p,2,33.21,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/20/960x540_2.mp4
AVS2,20,540p,3,48.3,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/20/960x540_3.mp4
AVS2,20,540p,4,58.89,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/20/960x540_4.mp4
AV1,20,540p,1,45.91,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/20/960x540_1.mp4
AV1,20,540p,2,57.08,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/20/960x540_2.mp4
AV1,20,540p,3,62.48,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/20/960x540_3.mp4
AV1,20,540p,4,58.63,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/20/960x540_4.mp4
HEVC,1,1080p,1,7.61,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/01/1920x1080_1.mp4
HEVC,1,1080p,2,25.98,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/01/1920x1080_2.mp4
HEVC,1,1080p,3,52.29,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/01/1920x1080_3.mp4
HEVC,1,1080p,4,71.7,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/01/1920x1080_4.mp4
H264,1,1080p,1,13.07,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/01/1920x1080_1.mp4
H264,1,1080p,2,32.79,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/01/1920x1080_2.mp4
H264,1,1080p,3,52.97,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/01/1920x1080_3.mp4
H264,1,1080p,4,76.17,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/01/1920x1080_4.mp4
VP9,1,1080p,1,29.02,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/01/1920x1080_1.mp4
VP9,1,1080p,2,57.26,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/01/1920x1080_2.mp4
VP9,1,1080p,3,74.54,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/01/1920x1080_3.mp4
VP9,1,1080p,4,82.28,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/01/1920x1080_4.mp4
AVS2,1,1080p,1,10.0,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/01/1920x1080_1.mp4
AVS2,1,1080p,2,21.64,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/01/1920x1080_2.mp4
AVS2,1,1080p,3,68.73,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/01/1920x1080_3.mp4
AVS2,1,1080p,4,81.01,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/01/1920x1080_4.mp4
AV1,1,1080p,1,53.91,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/01/1920x1080_1.mp4
AV1,1,1080p,2,76.77,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/01/1920x1080_2.mp4
AV1,1,1080p,3,85.47,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/01/1920x1080_3.mp4
AV1,1,1080p,4,86.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/01/1920x1080_4.mp4
HEVC,2,1080p,1,21.54,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/02/1920x1080_1.mp4
HEVC,2,1080p,2,44.5,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/02/1920x1080_2.mp4
HEVC,2,1080p,3,65.74,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/02/1920x1080_3.mp4
HEVC,2,1080p,4,83.54,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/02/1920x1080_4.mp4
H264,2,1080p,1,9.13,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/02/1920x1080_1.mp4
